Product ASIN,Clicks,Indirect Items Ordered,Direct Items Ordered,Items Ordered,Product Conversion Rate,Ordered Revenue,Direct Conversion Rate,Commission Rate,Items Shipped,Items Returned,Items Shipped Revenue,Items Shipped Earnings,Items Returned Revenue,Items Returned Earnings,Total Earnings,Time Period
B0DSZH629G,"1,301",-,-,125,9.61%,"$1,840.22",-,3.23%,124,5,"$1,837.58",$59.31,$123.19,$4.67,$54.64,2026
B0DH8Q4LBL,"1,141",-,-,117,10.25%,"$1,815.11",-,3.21%,116,8,"$1,808.71",$58.14,$148.73,$5.24,$52.90,2026
B0D71KL81M,"1,313",-,-,196,14.93%,"$2,541.51",-,2.26%,196,7,"$2,541.51",$57.52,$177.36,$6.26,$51.26,2026
1797204319,801,-,-,144,17.98%,"$1,416.09",-,3.87%,144,4,"$1,416.09",$54.75,$108.21,$4.36,$50.39,2026
B0D1PLY9YC,462,-,-,88,19.05%,"$1,290.53",-,3.20%,127,26,"$2,118.53",$67.82,$551.80,$18.05,$49.77,2026
B0BXKZ6GB7,"1,169",-,-,115,9.84%,"$1,698.20",-,2.87%,115,2,"$1,698.20",$48.72,$15.48,$0.52,$48.20,2026
B0C413Q1K8,"1,113",-,-,187,16.80%,"$1,876.62",-,2.45%,187,2,"$1,876.62",$46.06,$69.17,$2.08,$43.98,2026
B0FK16KQFF,779,-,-,86,11.04%,"$1,374.77",-,3.18%,123,15,"$1,953.86",$62.08,$564.66,$18.49,$43.59,2026
B07THFQS6Y,47,-,-,35,74.47%,$616.32,-,2.25%,177,11,"$2,307.74",$51.84,$307.11,$10.77,$41.07,2026
B0025UAJMW,"1,091",-,-,130,11.92%,"$1,888.69",-,2.38%,130,5,"$1,888.69",$44.95,$108.95,$4.10,$40.85,2026
B0F8PNJ1LX,82,-,-,50,60.98%,$747.72,-,2.41%,145,6,"$1,801.96",$43.48,$111.63,$3.79,$39.69,2026
B0025UA2J2,"1,112",-,-,158,14.21%,"$1,952.14",-,2.31%,156,15,"$1,931.26",$44.64,$252.82,$8.08,$36.56,2026
B0DTQDYTTW,975,-,-,146,14.97%,"$2,295.28",-,1.61%,145,7,"$2,280.19",$36.65,$210.97,$4.06,$32.59,2026
